obj,n,att.M,att.SD,ex.M,ex.SD,cert.M,cert.SD,know.M,know.SD,imp.M,imp.SD,cogaff.M,cogaff.SD,moral.M,moral.SD,self.M,self.SD,conabs.M,conabs.SD,stab.M,stab.SD,resp.time.M,resp.time.SD,cor.ideo,cor.age,cor.big5.EX,cor.big5.AG,cor.big5.CO,cor.big5.ES,cor.big5.OP,gender.diff
ADOPTING A CHILD,35,6.257142857142857,0.780002154705061,2.257142857142857,0.780002154705061,6.0285714285714285,1.1242177485783114,4.3428571428571425,1.4130246478608166,6.457142857142857,0.7413365173339117,3.8285714285714287,1.2715371495513121,3.7142857142857144,0.9873144969898834,2.2857142857142856,1.3627702877384937,3.5142857142857142,1.7718622402205335,2.1714285714285713,0.9544235798364892,36.15445714285714,32.49376107025403,-0.4719269661918008,0.027678907400739833,0.035883564046034926,0.325554562818834,0.08370433768456417,-0.024176314933542137,0.19911583878959085,0.15395606256363978
ADVIL,34,4.823529411764706,1.1669849323971873,1.1176470588235294,0.8795558756124711,4.911764705882353,1.239932721997534,5,1.2309149097933274,4.5588235294117645,1.4810147313855813,3.1470588235294117,1.5979599293564521,2.0588235294117645,1.2538710114557174,1.9411764705882353,1.099343508523437,2.911764705882353,1.6763533123442345,2.1176470588235294,1.2001188295294292,32.73564705882353,24.71649285933579,0.2339187467497192,-0.08645627959036313,-0.27049353518724245,-0.05995582394497311,-0.05779815489602599,-0.19994606975381762,0.0450159647953431,-0.2863160814137158
AEROBIC ACTIVITIES,35,5.885714285714286,1.1573658878329391,2.057142857142857,0.8023075962444807,5.942857142857143,1.0555973258234952,5.228571428571429,1.2622508906411474,5.6,1.2175191748701417,3.4571428571428573,1.7208557574111567,2.2,1.1580917366893848,2.5142857142857142,1.2216533775134075,2.9714285714285715,1.8388889594105504,2.2285714285714286,1.1902969052673689,33.96194285714286,46.7969666858509,0.17505754274434251,-0.0640336385065509,0.11974990849386837,0.3697191163291546,0.4741250165802343,0.276174311419204,0.12779249074796828,-0.16049724654655326
AGING,31,3.3548387096774195,1.495513002211932,1.2903225806451613,0.9727469142278401,5.354838709677419,1.3303730578744744,5.451612903225806,1.3124711978406576,5.806451612903226,0.9099214192705389,4.483870967741935,1.5026857675938214,2.5161290322580645,1.28765854019186,2.935483870967742,1.1813970224827819,3.5806451612903225,2.0780470567079257,2.870967741935484,0.9216628264128904,65.90393548387097,126.41919375762934,-0.0046468001771176656,0.20276616407043802,-0.02131669147738414,-0.20736277241324486,0.20614314605255002,0.1925948271658871,-0.05463612351508391,0.32608549061992975
AIR CONDITIONING,30,6.266666666666667,0.8683449709106095,2.2666666666666666,0.8683449709106095,6.3,1.149212624004981,5.5,1.224744871391589,6.033333333333333,1.2172137016162359,3.7333333333333334,1.8925139881655562,1.8333333333333333,1.366680683976335,1.9333333333333333,1.2015315896469556,2.3333333333333335,1.5387709679981694,2.066666666666667,1.2015315896469556,47.9861,117.96199758903947,-0.05337129976158585,0.11491855933152481,-0.08243898548314935,0.39392556993118527,0.10649786290727907,-0.12779965811081193,0.24819107028827453,-0.6352980431290525
AIRBNB,34,4.617647058823529,1.3260720278977705,1.2058823529411764,0.8082683234603762,4.882352941176471,1.4515343163899894,4.676470588235294,1.4506129996888593,3.9705882352941178,1.4031413699623505,3.764705882352941,1.3270798091917266,2.1470588235294117,1.076817784905823,1.7352941176470589,0.9941898949582402,3.088235294117647,1.7984445646307563,2.676470588235294,0.9760957552162384,43.079205882352944,62.61330613679947,-0.33401844739655484,0.18472151199762005,0.2772015832451957,0.1556344537344383,-0.1883638294376552,-0.2334632416218427,0.06458799764275215,0.07819960552464911
ALARM CLOCKS,31,5.419354838709677,1.5005375380928683,1.8064516129032258,0.9804541409880654,5.838709677419355,1.098385912556796,5.806451612903226,1.1081322074767577,4.935483870967742,1.7114415730794073,3.193548387096774,2.120052748380091,1.5161290322580645,1.1509696706671722,1.8064516129032258,1.4472814708666655,2.3870967741935485,1.8014331212461319,1.8709677419354838,1.3842431261371915,27.44167741935484,14.010382436814723,0.1297274618640091,0.09306626186629915,0.22132405590926316,0.1271318561781592,0.09672222856506255,0.09870074218229083,0.08664586990049145,-0.56338527806936
ALCOHOLISM,33,1.6363636363636365,1.365150674334655,2.6666666666666665,0.5400617248673217,6.575757575757576,0.6628679652796169,5.909090909090909,1.0713203408538796,5.818181818181818,1.4242222758084817,3.0303030303030303,1.8954690792263087,3.6363636363636362,1.270289873862011,2.727272727272727,1.3980505908390635,3.757575757575758,2.1364442280092266,2.3333333333333335,1.241638702145945,40.2700303030303,43.64972030013827,0.24824662006782408,-0.19839680235935717,0.31923870041107744,-0.18808726829539435,-0.14872533238591623,0.05769924360700335,-0.028230053259129737,0.3126599410142394
ALEC BALDWIN,35,3.342857142857143,1.1099246700156022,0.9428571428571428,0.8725505932695972,4.942857142857143,1.4939654524483637,4.628571428571429,1.3522468075656264,3.3142857142857145,1.4094518870286916,4.171428571428572,1.599369623719705,2.6857142857142855,1.3009369603443188,1.6571428571428573,1.136114563994762,2.8857142857142857,1.7451011865391943,2.8,0.9640600420647474,46.46797142857143,42.23113176561862,0.30532711270916374,-0.0631254824689331,0.02780212473095729,0.027473879161602644,0.07003731661607909,0.29144577526871623,-0.07043077743717578,1.0500850305706542
ALLERGY MEDICINE,33,5.787878787878788,1.111237366564176,1.9090909090909092,0.8790490729915326,5.848484848484849,1.227833766263071,4.787878787878788,1.4088465086191913,5.606060606060606,1.0588730430094635,3.0606060606060606,1.8360860876364489,1.9696969696969697,1.3106498503807302,2.121212121212121,1.3406522609716827,2.6363636363636362,1.5374122295716148,1.7878787878787878,1.0827504259285632,45.239939393939395,52.063921577794275,0.16662026275032743,0.4322033460370037,-0.055538320060844124,0.12211217701938841,0.18391196017630215,0.0858103188274198,-0.22478424946725503,-0.35666740985197737
ALLOWING CHILDREN TO PLAY VIOLENT VIDEO GAMES,72,3.1527777777777777,1.5073502749295544,1.3472222222222223,1.0767677535068438,5.402777777777778,1.2633481362245462,5.25,0.9893802299604636,4.680555555555555,1.508906785394961,3.8333333333333335,1.5833642201089195,2.9722222222222223,1.125532390111168,2.4583333333333335,1.2552705785415799,3.888888888888889,1.8274553658683435,2.9027777777777777,1.0367843327995723,40.66961111111111,27.73653571926008,-0.02569568268928556,-0.21176214357513895,-0.058730623090298646,-0.36997862700988526,-0.22700528882009757,-0.10837782654792309,-0.1230239203233526,0.03483553102957691
ALLOWING KIDS TO DRINK ALCOHOL WITH PARENTAL SUPERVISION,32,3.03125,1.822518197617012,1.78125,1.0075321174741456,6.0625,1.2164862143392416,4.8125,1.4013242584852925,4.875,1.5811388300841898,3.1875,1.6546610607029015,3.40625,1.1030566037007086,2.5625,1.293594641599212,3.34375,1.6580084244309108,2.15625,1.0506334494776426,47.08671875,33.23604700907306,-0.09386076929059962,-0.15616538723039494,0.2308821726958515,-0.4047429442200475,-0.4886513252769866,-0.18181234174623337,0.16976765437803057,-0.036110849893523804
ALLOWING REFUGEES INTO THE U.S.,35,4.685714285714286,1.7949509016950291,1.7142857142857142,0.8250286473253902,5.457142857142857,1.2448212048052416,4.857142857142857,1.2400867413412742,5.542857142857143,1.0100336960848835,4,1.2602520756252087,3.3142857142857145,0.9932545604469881,2.4857142857142858,1.0946777277953053,4.057142857142857,1.5328339218365352,3.085714285714286,0.781078762746399,55.51985714285714,55.23682850297641,-0.2137712131836461,-0.17164277688757004,-6.113980132568059e-4,0.005616355639733765,-0.31354595861177503,-0.10168328403890275,0.21566874131504246,0.07798952086215398
ALLOWING SAME-SEX COUPLES TO ADOPT CHILDREN,33,4.787878787878788,2.2045064039028066,2,1.1726039399558574,5.575757575757576,1.6961408960914595,4.333333333333333,1.707825127659933,5.212121212121212,1.672527573718438,3.4242424242424243,1.639937175441163,3.6363636363636362,1.2454462508018416,2.696969696969697,1.4680950344930093,3.6363636363636362,1.9814480471706453,2.787878787878788,0.96038975673863,39.62869696969697,20.391852094471535,-0.24913310797253846,-0.3330176947550319,-0.13841294217714212,0.24778461800835627,-0.37637319887484133,0.017834395649603145,0.17735547989702394,0.12012144461567698
ALLOWING TRANSGENDER PEOPLE TO GET MARRIED,34,5.382352941176471,1.7058669862237374,1.8529411764705883,1.158168693976687,5.9411764705882355,1.2538710114557174,4.264705882352941,1.7974531397678548,5,1.9227505550564006,3.588235294117647,1.9402850002906638,3.676470588235294,1.1734587114992938,2.7941176470588234,1.5131626875762842,3.9705882352941178,1.8337789119845433,3.1176470588235294,1.094468346991746,44.225647058823526,38.62254923862276,-0.6631928739387606,0.18745712867219216,0.04385984057994865,0.39643162664631315,0.10318884580879117,0.0971502233147939,0.08964867638964662,0.211798762190142
